zpid,price,price_sqft,bedrooms,bathrooms,livingArea,yearBuilt,rentZestimate,rentZestimate_sqft,MeanPricesnearbyHomes,MeanbathroomsnerabyHomes,MeanbedroomsnerabyHomes,MeanlivingAreanerabyHomes,SCHOOLSMeandistance,pageViewCount,favoriteCount,daysOnZillow,dia_semana,ADULTCOM,ANNUALDUES_FEE,WAITINGPERIOD,longitude,latitude,predictions,predictions_LASSO,predictions_ML,D_Safe_Conv_Location,D_Recently_Renovated,D_Ready_To_Move,D_Requires_Repairs,D_Special_Features,D_Not_Free_Litigation,D_More_Than_One_Unit,D_Investors,D_Airbnb,Diff_Prices,Diff_p,VPN,amount,profit_all,ht,Labels,model,task_main_id
45797316,2250000,1698.1132075471698,3.0,3.0,1325,1991,6905,5.211320754716981,2069875.0,2.375,2.375,1464.5,2.3000000000000003,731,6,175,4,0,0,0,-81.807304,24.555885,1257392.7647479267,1971845.5603405938,1292446.5573385868,0,0,0,0,0,0,0,1,0,278154.4396594062,12.362419540418054,52952.25443022688,-202280.17168101325,-8.990229852489477,2,0,predictions_LASSO,fb65c8a5-7a16-4222-a8ba-86f2bfed94f2
449330561,2900000,1097.2379871358305,4.0,4.0,2643,2026,7738,2.9277336360196746,962500.0,2.125,2.25,1783.2,2.35,220,6,322,4,0,0,0,-81.05284,24.722874,2550097.284818358,2617189.054079162,2653332.6613149554,0,1,0,0,0,0,0,0,0,282810.94592083804,9.752101583477174,59340.26716598056,-201540.32257664367,-6.949666295746333,1,0,predictions_LASSO,fb65c8a5-7a16-4222-a8ba-86f2bfed94f2
45797874,2745000,1399.0825688073394,3.0,4.0,1962,1908,6833,3.482670744138634,997625.0,1.5,2.125,1114.875,0.8,445,13,126,4,0,0,0,-81.794815,24.55808,2879069.923674381,2452966.035511179,3140116.979878384,0,0,1,0,0,1,1,1,0,292033.9644888211,10.638760090667436,52400.1092717944,-214769.46715142854,-7.824024304241477,1,0,predictions_LASSO,fb65c8a5-7a16-4222-a8ba-86f2bfed94f2
45800034,3495000,1329.9086757990867,4.0,5.0,2628,2022,8323,3.167047184170472,1448487.5,2.4375,3.0,1630.125,0.30000000000000004,530,13,124,6,0,0,0,-81.78363,24.554848,2543280.7831462626,3157352.5833676565,2345414.294315641,0,0,0,0,0,0,0,0,0,337647.41663234355,9.660870289909687,63826.44657824452,-245883.4175364555,-7.035290916636781,1,0,predictions_LASSO,fb65c8a5-7a16-4222-a8ba-86f2bfed94f2
449864312,7795000,2029.4194220255142,5.0,5.0,3841,2024,0,0.0,4187713.75,4.333333333333333,3.8333333333333335,4139.833333333333,0.2,1591,81,51,2,0,0,0,-80.538246,24.990953,7034175.397435095,7457310.630587002,6214349.486120568,1,0,1,1,0,1,1,1,1,337689.36941299774,4.332127894971106,0.0,-293789.751389308,-3.7689512686248623,1,3,predictions_LASSO,fb65c8a5-7a16-4222-a8ba-86f2bfed94f2
45797885,4995000,1650.6939854593522,4.0,4.0,3026,1920,7560,2.4983476536682088,1696511.625,2.25,2.25,1278.5,0.8999999999999999,1364,39,105,4,0,0,0,-81.795456,24.558647,4302874.13968879,4638872.416258538,4614668.435526922,0,0,0,0,0,1,1,1,0,356127.58374146186,7.129681356185422,57975.24163541134,-266349.5666285133,-5.3323236562264915,1,0,predictions_LASSO,fb65c8a5-7a16-4222-a8ba-86f2bfed94f2
45801896,1999000,1030.4123711340205,2.0,3.0,1940,1980,6315,3.2551546391752577,1374800.0,2.625,2.0,1993.5,0.5,394,6,342,5,0,0,0,-81.78035,24.55,1492681.4471136294,1640349.2291621515,1812426.3683388801,1,0,0,0,0,0,0,0,0,358650.77083784854,17.941509296540698,48427.73160418289,-275705.3719257911,-13.792164678628868,3,0,predictions_LASSO,fb65c8a5-7a16-4222-a8ba-86f2bfed94f2
447556780,2150000,1010.8133521391632,3.0,2.0,2127,1997,5713,2.685942642219088,1371822.2222222222,2.3333333333333335,3.111111111111111,2264.777777777778,7.3,164,2,419,5,0,0,0,-80.43997,25.081717,2331345.5858589537,1787871.0037781294,2425128.2389384424,1,1,1,1,1,0,1,1,1,362128.99622187065,16.843209126598634,43811.184585066796,-282193.83827422734,-13.125294803452434,3,3,predictions_LASSO,fb65c8a5-7a16-4222-a8ba-86f2bfed94f2
45797587,4595000,1539.3634840871023,4.0,5.0,2985,1938,4766,1.5966499162479062,1808175.0,2.5625,3.125,1466.625,1.6333333333333335,510,16,139,5,0,0,0,-81.794975,24.559954,4345394.326425869,4232306.042141235,4472039.982275614,1,0,0,0,0,1,1,1,1,362693.95785876457,7.893230856556356,36548.94201512837,-288132.0368257789,-6.270555752465265,1,3,predictions_LASSO,fb65c8a5-7a16-4222-a8ba-86f2bfed94f2
45807873,2195000,1153.4419337887546,5.0,3.0,1903,1986,0,0.0,757162.5,1.6666666666666667,2.8333333333333335,1466.0,10.35,884,22,83,5,0,0,0,-81.501785,24.663933,1719773.3150961671,1831992.259501352,2036987.192420628,1,0,1,0,0,0,0,0,0,363007.740498648,16.537938063719725,0.0,-315816.7342338238,-14.388006115436164,1,0,predictions_LASSO,fb65c8a5-7a16-4222-a8ba-86f2bfed94f2
45810343,2875000,1579.6703296703297,4.0,3.0,1820,1994,6049,3.323626373626374,1705724.875,3.125,3.375,1949.5,8.7,1346,86,4,0,0,0,0,-81.59174,24.618961,2821674.675196303,2511284.253341054,2272977.4276357973,1,0,1,1,0,1,1,1,0,363715.7466589459,12.650982492485076,46387.86199108509,-281641.8030999691,-9.796236629564142,1,3,predictions_LASSO,fb65c8a5-7a16-4222-a8ba-86f2bfed94f2
447261459,4300000,998.6065954482118,5.0,5.0,4306,2025,0,0.0,1137530.0,3.0,3.142857142857143,2056.1428571428573,7.25,467,11,240,2,0,0,0,-80.4366,25.087523,4682422.136496719,3918091.5126917735,4588600.540901318,0,0,0,0,0,0,0,1,0,381908.4873082265,8.88159272809829,0.0,-332260.3839581571,-7.726985673445514,1,0,predictions_LASSO,fb65c8a5-7a16-4222-a8ba-86f2bfed94f2
